,Timestamps,Temperature 1,Temperature 2,Pressure 1,Pressure 2
0,2024-11-13 19:49:18.436119,,,,
1,2024-11-13 19:49:19.436797,21.3,20.82,0.0,0.0
2,2024-11-13 19:49:20.437368,21.3,20.92,0.0,0.0
3,2024-11-13 19:49:21.437979,21.87,21.49,3.23,2.93
4,2024-11-13 19:49:22.438594,21.78,21.11,11.14,10.56
5,2024-11-13 19:49:23.440076,21.39,20.92,10.26,10.26
6,2024-11-13 19:49:24.441508,21.3,20.92,10.26,9.68
7,2024-11-13 19:49:25.442862,20.92,20.44,6.45,6.16
8,2024-11-13 19:49:26.444273,21.58,21.01,9.09,9.09
9,2024-11-13 19:49:27.445679,21.49,20.82,6.74,6.45
10,2024-11-13 19:49:28.446926,21.39,20.92,8.5,7.92
11,2024-11-13 19:49:29.448166,21.58,20.92,11.73,11.14
12,2024-11-13 19:49:30.449623,21.49,20.92,17.6,17.6
13,2024-11-13 19:49:31.451083,21.58,21.01,20.23,19.65
14,2024-11-13 19:49:32.452598,21.2,20.92,26.69,26.69
15,2024-11-13 19:49:33.454083,21.3,21.01,29.33,29.03
16,2024-11-13 19:49:34.455583,21.39,20.92,27.27,26.98
17,2024-11-13 19:49:35.457031,21.58,21.01,27.57,27.57
18,2024-11-13 19:49:36.458494,21.68,21.01,27.57,27.27
19,2024-11-13 19:49:37.459991,21.3,20.92,32.84,32.26
20,2024-11-13 19:49:38.461424,21.3,20.92,44.57,44.57
21,2024-11-13 19:49:39.462929,21.68,21.01,40.76,41.06
22,2024-11-13 19:49:40.464476,21.39,20.92,36.95,36.95
23,2024-11-13 19:49:41.465796,20.92,20.92,30.79,30.21
24,2024-11-13 19:49:42.467249,22.06,21.68,25.51,25.22
25,2024-11-13 19:49:43.468764,21.3,20.92,20.82,20.82
26,2024-11-13 19:49:44.470241,21.58,21.01,17.01,17.01
27,2024-11-13 19:49:45.471758,20.82,20.72,13.78,13.78
28,2024-11-13 19:49:46.473210,21.39,20.92,11.14,11.14
29,2024-11-13 19:49:47.474586,21.3,20.92,8.8,8.8
30,2024-11-13 19:49:48.476024,21.58,21.01,7.33,7.04
31,2024-11-13 19:49:49.477345,21.87,21.49,5.87,5.57
32,2024-11-13 19:49:50.478742,21.58,20.92,4.99,4.11
33,2024-11-13 19:49:51.480168,21.3,20.92,3.81,3.23
34,2024-11-13 19:49:52.481552,21.3,20.92,3.81,3.52
35,2024-11-13 19:49:53.482938,21.2,20.92,41.94,41.64
36,2024-11-13 19:49:54.484413,21.49,20.92,37.24,37.24
37,2024-11-13 19:49:55.485861,21.39,20.92,33.72,33.43
38,2024-11-13 19:49:56.487367,21.49,21.01,32.26,31.96
39,2024-11-13 19:49:57.488650,21.2,20.92,29.62,29.33
40,2024-11-13 19:49:58.490093,21.3,20.82,26.39,25.81
41,2024-11-13 19:49:59.491416,21.39,20.92,23.17,22.87
42,2024-11-13 19:50:00.492884,21.58,21.01,20.82,20.53
43,2024-11-13 19:50:01.494306,21.58,21.2,18.48,18.18
44,2024-11-13 19:50:02.495804,21.39,20.92,16.13,15.54
45,2024-11-13 19:50:03.497265,21.3,20.92,14.37,13.78
46,2024-11-13 19:50:04.498760,21.39,20.92,12.61,12.32
47,2024-11-13 19:50:05.500263,21.39,20.92,10.85,10.26
48,2024-11-13 19:50:06.501610,21.39,20.92,9.38,8.8
49,2024-11-13 19:50:07.502978,21.58,21.01,7.62,7.33
50,2024-11-13 19:50:08.504397,21.3,20.92,6.45,5.87
51,2024-11-13 19:50:09.505769,21.49,21.01,4.99,4.4
52,2024-11-13 19:50:10.507181,21.3,20.92,2.64,2.05
53,2024-11-13 19:50:11.508562,21.2,20.82,0.29,0.0
54,2024-11-13 19:50:12.509975,21.11,20.82,0.0,0.0
55,2024-11-13 19:50:13.510605,21.39,20.53,0.0,0.0
56,2024-11-13 19:50:14.511204,21.68,21.01,0.0,0.0
57,2024-11-13 19:50:15.511788,21.58,21.2,0.0,0.0
58,2024-11-13 19:50:16.512366,21.2,20.92,0.0,0.0
59,2024-11-13 19:50:17.512939,21.11,20.72,0.0,0.0
